ID,Title,Company,Location,Summary
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=9f6ca44bd1c54a7b&advn=1729840185424618," 2022년 2월 경력사원 (품질)",LG에너지솔루션,청주 오창읍,"경력 - 프로그래밍 언어(R, 
Python, Visual Basic 등... 년 이상 - Embedded SW 개발 (C, C++) 실무 경력 - 
Python 활용 Big Data 분석 및 수치 해석 경험 우대사항 - BMS..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=0a80ef7ebb86a66d&advn=1729840185424618," [연구개발 부문] 연구원 (MCU 계측제어설계/머신비전/이미지프로세싱)",모든,경기도 광명,"프로그래밍 가능자 우대S/W 설계 부문 : - OPEN CV, TENSORFLOW, YOLO, CUDA/
Python, C++, C WindowsGUL APL, MFC Lib 활용 가능자. 머신비전/ 영상처리 개발자* 전기..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=a1d1d5bf76c45576&advn=1729840185424618," 2022년 2월 경력사원 (설비기술)",LG에너지솔루션,청주 오창읍,"개선을 위한 알고리즘 개발 필수사항 - 관련 업무 경력 10년 이상 - Data 분석 및 SW 설계 경력 (
Python, R, Spotfire, C++ 등) - 실시간 데어터 분석/처리/시각화 역량 우대사항 - 빅데이터 분석..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=00604acdc9f8bc42&advn=1729840185424618," [대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울,"공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석... 통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=9720582e65044101&advn=1729840185424618," 이공계 우수인력 희망기업",한국산업기술진흥협회,서울,"과정명 연수지역 연수기관 연락처 경기도경제과학진흥원 JAVA와 파이썬(
Python)기반 빅데이터 분석 양성 서울 031-259-6067 동양미래대학교... 게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=87d4ea678a85b896&advn=1729840185424618," [TmaxEdu/R&D] 연구 개발자",티맥스소프트,성남 분당구,"CSS, JavaScript, TypeScript [Server 개발(사용 언어)] - Java, 
Python, SQL [Framework(사용 언어)] - React.js, Spring [입사 지원 시 참고 사항..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=79fb95da6dff4025&advn=1729840185424618," 하반기 신입(채용 연계형 인턴) 수시채용",홈앤쇼핑,서울 마곡동,"Python, R, 기타 코딩 능력 보유자 또는 통계 분석에 대한 기초 지식 보유자 중 1개 해당자 우대사항 · 통계 분석에 대한 기초 지식 보유자 · 기초 프로그래밍 코딩 구현 능력 보유자 (
Python or R..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=b3a6c83c9debcb92&advn=1729840185424618," 네이버 파이낸셜 플랫폼 운영",NIT Service,성남 삼평동,"Docker(kubernetes) 및 어플리케이션 배포 전략 지식 보유 - Shell script, 
python 및 web framework 등 기타 프로그래밍 언어 활용 가능 - 국가보훈대상자 및 장애인은 법령에 의거..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=5ab0b45dfa93411b&advn=1729840185424618," Data Engineer 신입사원",플리토,서울 강남구,"분류, 개인정보 비식별화, 불량 코퍼스 필터링 등 다양한 ML 프로젝트 (예정)[자격요건]- Julia / 
Python / R 중에서 자신 있는 프로그래밍 언어가 있는 분- 하나의 데이터도 놓치지 않고 꼼꼼하게 관리할 수..."
https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&vjk=e1f6164f1d03449a&advn=1729840185424618," 주식회사 데이터스트림즈 기술연구소 Python/Java 개발자",데이터스트림즈,성남 분당구,"데이터스트림즈 기술연구소 
Python/Java 개발자 채용 모집부문 및 자격요건 담당업무 자격요건 우대사항 
Python/Java 개발 직군 경력직... 통신·모바일·게임>웹프로그래머>
Python|인터넷·IT·통신·모바일·게임..."
